,area_type,location,BHK,total_sqft,bath,balcony,price_in_lakhs
3955,Super built-up  Area,Kalena Agrahara,3,1902.0,3.0,2.0,89.0
3956,Super built-up  Area,Kalena Agrahara,2,800.0,2.0,1.0,40.0
3957,Super built-up  Area,Kalena Agrahara,2,1222.0,2.0,3.0,48.0
3958,Super built-up  Area,Kalena Agrahara,2,900.0,2.0,1.0,40.0
3959,Super built-up  Area,Kalena Agrahara,3,1837.0,2.0,2.0,95.0
3960,Built-up  Area,Kalena Agrahara,3,1510.0,3.0,2.0,78.0
3961,Super built-up  Area,Kalena Agrahara,2,1354.0,2.0,2.0,70.0
3962,Super built-up  Area,Kalena Agrahara,2,1200.0,3.0,2.0,70.0
3963,Super built-up  Area,Kalena Agrahara,2,1354.0,2.0,2.0,71.0
3964,Built-up  Area,Kalyan nagar,3,1375.0,3.0,2.0,75.0
3965,Built-up  Area,Kalyan nagar,2,820.0,2.0,0.0,39.0
3966,Built-up  Area,Kalyan nagar,4,3800.0,5.0,3.0,300.0
3967,Built-up  Area,Kalyan nagar,3,1640.0,3.0,3.0,88.0
3969,Super built-up  Area,Kalyan nagar,2,1080.0,2.0,2.0,73.0
3970,Super built-up  Area,Kalyan nagar,4,2422.0,3.0,2.0,150.0
3971,Super built-up  Area,Kalyan nagar,2,1280.0,2.0,1.0,48.0
3973,Super built-up  Area,Kalyan nagar,2,1198.0,2.0,1.0,65.0
3974,Built-up  Area,Kalyan nagar,2,1250.0,2.0,2.0,65.0
3975,Built-up  Area,Kalyan nagar,2,1190.0,2.0,1.0,60.0
3976,Built-up  Area,Kalyan nagar,2,1086.0,2.0,2.0,44.5
3977,Super built-up  Area,Kalyan nagar,3,2285.0,4.0,1.0,165.0
3978,Built-up  Area,Kalyan nagar,2,1100.0,2.0,1.0,70.0
3979,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,45.0
3980,Super built-up  Area,Kambipura,3,1082.0,2.0,1.0,56.0
3981,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,45.0
3983,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,39.0
3984,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,45.0
3985,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,39.0
3986,Super built-up  Area,Kambipura,3,1082.0,2.0,1.0,55.0
3988,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,37.0
3989,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,44.0
3990,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,37.0
3993,Built-up  Area,Kambipura,2,883.0,2.0,1.0,39.0
3994,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,37.01
3995,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,39.0
3996,Super built-up  Area,Kambipura,2,883.0,2.0,1.0,45.0
3997,Built-up  Area,Kambipura,2,883.0,2.0,1.0,39.0
3998,Super built-up  Area,Kambipura,3,1082.0,2.0,1.0,55.0
3999,Built-up  Area,Kammanahalli,5,2845.0,5.0,1.0,140.0
4000,Built-up  Area,Kammanahalli,5,1666.0,4.0,1.0,150.0
4001,Built-up  Area,Kammanahalli,1,700.0,1.0,0.0,59.0
4002,Super built-up  Area,Kammanahalli,2,1200.0,2.0,2.0,80.0
4003,Built-up  Area,Kammanahalli,2,1100.0,2.0,1.0,60.0
4004,Plot  Area,Kammanahalli,2,1200.0,1.0,1.0,81.0
4005,Built-up  Area,Kammanahalli,4,2900.0,4.0,2.0,200.0
4006,Super built-up  Area,Kammanahalli,2,1200.0,3.0,2.0,80.0
4007,Super built-up  Area,Kammasandra,3,1595.0,3.0,2.0,65.0
4008,Super built-up  Area,Kammasandra,2,810.0,2.0,2.0,24.5
4009,Super built-up  Area,Kammasandra,1,657.5,1.0,0.0,18.41
4010,Super built-up  Area,Kammasandra,2,674.0,2.0,1.0,29.0
4011,Super built-up  Area,Kammasandra,3,912.0,2.0,1.0,39.0
4012,Super built-up  Area,Kammasandra,2,1156.0,2.0,2.0,32.0
4013,Super built-up  Area,Kammasandra,2,870.0,2.0,1.0,24.0
4014,Built-up  Area,Kammasandra,2,990.0,2.0,1.0,31.5
4016,Super built-up  Area,Kammasandra,2,930.0,2.0,0.0,25.0
4017,Super built-up  Area,Kammasandra,2,992.0,2.0,2.0,25.79
4018,Super built-up  Area,Kammasandra,2,1030.0,1.0,2.0,25.75
4020,Super built-up  Area,Kammasandra,2,1015.0,2.0,2.0,37.0
4022,Super built-up  Area,Kammasandra,2,1080.0,2.0,1.0,31.99
4023,Built-up  Area,Kammasandra,2,1415.0,2.0,2.0,60.0
4024,Super built-up  Area,Kammasandra,2,1057.0,2.0,1.0,35.0
4025,Super built-up  Area,Kammasandra,2,982.0,2.0,2.0,25.53
4026,Super built-up  Area,Kammasandra,3,1500.0,3.0,2.0,65.0
4027,Super built-up  Area,Kammasandra,2,985.0,2.0,1.0,40.5
4028,Super built-up  Area,Kammasandra,2,940.0,2.0,2.0,35.0
4030,Super built-up  Area,Kammasandra,1,610.0,1.0,1.0,18.5
4031,Built-up  Area,Kanakapura,3,1419.0,3.0,3.0,75.0
4032,Super built-up  Area,Kanakapura,1,711.0,1.0,1.0,36.0
4033,Super built-up  Area,Kanakapura,1,711.0,1.0,1.0,38.0
4034,Super built-up  Area,Kanakapura,2,929.0,2.0,1.0,46.0
4035,Super built-up  Area,Kanakapura,1,551.0,1.0,1.0,30.0
4036,Super built-up  Area,Kanakapura,2,1020.0,2.0,1.0,42.83
4037,Super built-up  Area,Kanakapura,3,1699.0,3.0,3.0,97.0
4038,Super built-up  Area,Kanakapura,2,1130.0,2.0,1.0,45.2
4039,Super built-up  Area,Kanakapura,3,1476.0,3.0,1.0,75.0
4040,Super built-up  Area,Kanakapura,2,1295.0,2.0,2.0,64.0
4041,Super built-up  Area,Kanakapura,2,1160.0,2.0,1.0,46.39
4042,Super built-up  Area,Kanakapura,2,1277.0,2.0,2.0,55.0
4043,Super built-up  Area,Kanakapura,2,1151.0,2.0,1.0,59.0
4044,Super built-up  Area,Kanakapura,2,945.0,2.0,1.0,47.0
4045,Super built-up  Area,Kanakapura,3,1254.0,2.0,2.0,70.0
4046,Built-up  Area,Kanakapura,3,2200.0,3.0,1.0,121.0
4047,Built-up  Area,Kanakapura,2,1340.0,2.0,2.0,65.0
4049,Super built-up  Area,Kanakapura,3,1450.0,3.0,1.0,75.0
4050,Super built-up  Area,Kanakapura,2,1130.0,2.0,1.0,45.2
4051,Super built-up  Area,Kanakapura,2,1283.0,2.0,2.0,68.0
4052,Built-up  Area,Kanakapura,4,2130.0,4.0,0.0,120.0
4054,Super built-up  Area,Kanakapura,1,938.0,1.0,1.0,50.0
4055,Super built-up  Area,Kanakapura,1,825.0,1.0,0.0,35.475
4056,Super built-up  Area,Kanakapura,3,1489.0,2.0,1.0,70.0
4057,Super built-up  Area,Kanakapura,3,1477.0,2.0,1.0,69.5
4058,Super built-up  Area,Kanakpura Road,2,700.0,2.0,1.0,36.0
4059,Super built-up  Area,Kanakpura Road,3,1665.0,3.0,2.0,88.0
4060,Built-up  Area,Kanakpura Road,2,950.0,2.0,1.0,57.0
4061,Built-up  Area,Kanakpura Road,4,2250.0,4.0,1.0,110.0
4063,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,26.0
4065,Super built-up  Area,Kanakpura Road,1,525.0,2.0,2.0,21.53
4068,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,27.25
4069,Super built-up  Area,Kanakpura Road,3,1100.0,2.0,1.0,58.0
4070,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,30.0
4072,Super built-up  Area,Kanakpura Road,2,1339.0,2.0,3.0,75.0
4073,Super built-up  Area,Kanakpura Road,3,1100.0,3.0,2.0,58.0
4074,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,26.0
4076,Super built-up  Area,Kanakpura Road,3,1843.0,3.0,2.0,95.84
4077,Super built-up  Area,Kanakpura Road,2,1290.0,2.0,3.0,74.0
4079,Super built-up  Area,Kanakpura Road,3,1665.0,3.0,2.0,86.58
4081,Super built-up  Area,Kanakpura Road,3,1542.0,2.0,3.0,85.0
4082,Super built-up  Area,Kanakpura Road,3,1300.0,2.0,3.0,69.0
4083,Super built-up  Area,Kanakpura Road,2,900.0,2.0,1.0,46.0
4086,Super built-up  Area,Kanakpura Road,2,900.0,2.0,1.0,46.0
4087,Super built-up  Area,Kanakpura Road,2,900.0,2.0,1.0,46.0
4088,Super built-up  Area,Kanakpura Road,2,1495.0,2.0,2.0,90.0
4091,Carpet  Area,Kanakpura Road,3,1560.0,3.0,2.0,92.0
4092,Super built-up  Area,Kanakpura Road,2,1135.0,2.0,2.0,58.0
4093,Built-up  Area,Kanakpura Road,4,3500.0,6.0,2.0,225.0
4094,Super built-up  Area,Kanakpura Road,3,1420.0,2.0,2.0,75.0
4096,Super built-up  Area,Kanakpura Road,1,825.0,1.0,0.0,36.29
4097,Super built-up  Area,Kanakpura Road,2,983.0,2.0,1.0,50.6
4102,Super built-up  Area,Kanakpura Road,3,1843.0,3.0,2.0,95.84
4104,Super built-up  Area,Kanakpura Road,2,1366.0,3.0,1.0,76.85
4106,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,25.0
4108,Super built-up  Area,Kanakpura Road,3,2265.0,3.0,2.0,136.0
4114,Plot  Area,Kanakpura Road,3,2200.0,3.0,2.0,130.0
4115,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,30.0
4117,Super built-up  Area,Kanakpura Road,2,1051.0,2.0,2.0,56.74
4118,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,30.0
4123,Super built-up  Area,Kanakpura Road,3,1300.0,3.0,2.0,69.0
4124,Super built-up  Area,Kanakpura Road,2,700.0,2.0,1.0,40.0
4125,Carpet  Area,Kanakpura Road,1,458.0,1.0,0.0,19.695
4126,Super built-up  Area,Kanakpura Road,3,1700.0,3.0,3.0,88.0
4129,Plot  Area,Kanakpura Road,4,2775.0,3.0,1.0,165.0
4130,Plot  Area,Kanakpura Road,3,1900.0,3.0,1.0,99.0
4131,Super built-up  Area,Kanakpura Road,2,1290.0,2.0,3.0,80.0
4136,Super built-up  Area,Kanakpura Road,3,1868.0,3.0,2.0,113.0
4138,Super built-up  Area,Kanakpura Road,2,1366.0,2.0,1.0,83.0
4139,Super built-up  Area,Kanakpura Road,2,700.0,2.0,1.0,40.0
4141,Super built-up  Area,Kanakpura Road,2,1339.0,2.0,2.0,71.5
4143,Super built-up  Area,Kanakpura Road,1,670.0,1.0,1.0,35.0
4150,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,30.0
4153,Super built-up  Area,Kanakpura Road,3,1498.0,3.0,2.0,95.0
4154,Super built-up  Area,Kanakpura Road,1,525.0,2.0,2.0,27.0
4155,Super built-up  Area,Kanakpura Road,3,1665.0,3.0,2.0,86.91
4156,Super built-up  Area,Kanakpura Road,3,1665.0,3.0,2.0,86.58
4157,Super built-up  Area,Kanakpura Road,1,712.0,1.0,1.0,38.44
4161,Super built-up  Area,Kanakpura Road,3,1507.0,2.0,3.0,95.0
4165,Super built-up  Area,Kanakpura Road,2,1339.0,2.0,2.0,85.0
4166,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,27.0
4167,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,27.5
4169,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,26.25
4171,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,26.0
4172,Built-up  Area,Kanakpura Road,3,1050.0,2.0,1.0,59.0
4173,Carpet  Area,Kanakpura Road,3,1600.0,3.0,3.0,90.0
4174,Super built-up  Area,Kanakpura Road,1,525.0,2.0,2.0,29.25
4176,Super built-up  Area,Kanakpura Road,2,800.0,2.0,2.0,41.145
4179,Super built-up  Area,Kanakpura Road,3,1100.0,3.0,2.0,56.57
4182,Super built-up  Area,Kanakpura Road,3,1843.0,3.0,2.0,96.2
4186,Built-up  Area,Kanakpura Road,2,1240.0,2.0,2.0,65.0
4190,Super built-up  Area,Kanakpura Road,2,700.0,2.0,1.0,41.0
4194,Super built-up  Area,Kanakpura Road,2,700.0,1.0,1.0,41.0
4196,Super built-up  Area,Kanakpura Road,3,1100.0,3.0,1.0,58.0
4197,Built-up  Area,Kanakpura Road,2,1140.0,2.0,1.0,65.0
4199,Super built-up  Area,Kanakpura Road,2,700.0,2.0,1.0,40.0
4202,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,26.01
4206,Built-up  Area,Kanakpura Road,2,1322.0,2.0,3.0,70.0
4207,Super built-up  Area,Kanakpura Road,2,1698.0,2.0,1.0,105.0
4208,Super built-up  Area,Kanakpura Road,3,1300.0,3.0,2.0,69.0
4209,Super built-up  Area,Kanakpura Road,3,1300.0,3.0,1.0,69.0
4211,Super built-up  Area,Kanakpura Road,2,1167.0,2.0,1.0,63.0
4215,Super built-up  Area,Kanakpura Road,3,1300.0,3.0,1.0,69.0
4220,Super built-up  Area,Kanakpura Road,2,1430.0,2.0,2.0,78.0
4221,Super built-up  Area,Kanakpura Road,2,700.0,2.0,1.0,36.0
4224,Super built-up  Area,Kanakpura Road,1,525.0,2.0,2.0,27.0
4226,Super built-up  Area,Kanakpura Road,3,1100.0,3.0,2.0,58.0
4231,Super built-up  Area,Kanakpura Road,3,1300.0,2.0,3.0,69.0
4232,Built-up  Area,Kanakpura Road,3,2000.0,3.0,3.0,105.0
4233,Plot  Area,Kanakpura Road,2,1200.0,2.0,0.0,62.0
4235,Super built-up  Area,Kanakpura Road,3,1843.0,3.0,2.0,95.0
4238,Super built-up  Area,Kanakpura Road,2,900.0,2.0,1.0,46.29
4239,Super built-up  Area,Kanakpura Road,1,850.0,1.0,1.0,37.32
4241,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,30.0
4242,Super built-up  Area,Kanakpura Road,3,1938.0,3.0,3.0,105.0
4243,Super built-up  Area,Kanakpura Road,3,1843.0,3.0,2.0,96.2
4244,Super built-up  Area,Kanakpura Road,1,525.0,1.0,1.0,26.0
4248,Super built-up  Area,Kanakpura Road,2,700.0,2.0,2.0,36.0
4249,Super built-up  Area,Kanakpura Road,3,1622.0,3.0,2.0,95.0
4254,Super built-up  Area,Kannamangala,2,957.0,2.0,1.0,58.0
4255,Built-up  Area,Kannamangala,2,957.0,2.0,1.0,56.0
4256,Built-up  Area,Kannamangala,4,3000.0,4.0,0.0,200.0
4257,Super built-up  Area,Kannamangala,3,1536.0,3.0,1.0,89.0
4258,Plot  Area,Kannamangala,4,2400.0,4.0,1.0,130.0
4259,Super built-up  Area,Kannamangala,3,1574.0,3.0,1.0,93.34
4260,Built-up  Area,Kannamangala,2,957.0,2.0,0.0,52.5
4261,Super built-up  Area,Kannamangala,3,1536.0,3.0,1.0,104.0
4262,Super built-up  Area,Kannamangala,2,957.0,2.0,2.0,54.5
4263,Super built-up  Area,Kannamangala,4,2422.0,4.0,3.0,135.0
4264,Super built-up  Area,Kannamangala,2,957.0,2.0,1.0,55.0
4265,Built-up  Area,Kannamangala,2,957.0,2.0,2.0,56.0
4266,Built-up  Area,Karuna Nagar,3,2500.0,3.0,2.0,180.0
4267,Plot  Area,Karuna Nagar,3,2500.0,3.0,2.0,190.0
4268,Built-up  Area,Karuna Nagar,3,1962.0,3.0,2.0,175.0
4269,Super built-up  Area,Karuna Nagar,2,1057.0,2.0,1.0,65.0
4270,Super built-up  Area,Karuna Nagar,3,1354.0,2.0,1.0,98.0
4271,Super built-up  Area,Karuna Nagar,3,1945.0,3.0,3.0,115.0
4272,Super built-up  Area,Karuna Nagar,3,1960.0,3.0,2.0,165.0
4273,Super built-up  Area,Kasavanhalli,2,1060.0,2.0,2.0,58.06
4274,Super built-up  Area,Kasavanhalli,3,1563.05,3.0,1.0,105.0
4275,Built-up  Area,Kasavanhalli,3,1717.0,3.0,3.0,99.0
4277,Built-up  Area,Kasavanhalli,4,3260.0,4.0,1.0,240.0
4278,Super built-up  Area,Kasavanhalli,2,1349.0,2.0,2.0,78.0
4279,Super built-up  Area,Kasavanhalli,2,1121.0,2.0,2.0,78.0
4280,Built-up  Area,Kasavanhalli,2,1100.0,2.0,1.0,50.0
4282,Super built-up  Area,Kasavanhalli,2,1200.0,2.0,1.0,78.0
4285,Super built-up  Area,Kasavanhalli,3,1476.0,3.0,0.0,89.0
4287,Super built-up  Area,Kasavanhalli,2,1200.0,2.0,2.0,50.0
4288,Built-up  Area,Kasavanhalli,3,1719.0,3.0,2.0,116.0
4289,Super built-up  Area,Kasavanhalli,2,1115.0,2.0,2.0,50.0
4290,Super built-up  Area,Kasavanhalli,2,1125.0,2.0,1.0,61.2
4291,Super built-up  Area,Kasavanhalli,3,2170.0,3.0,2.0,151.0
4294,Super built-up  Area,Kasavanhalli,3,1476.0,3.0,1.0,95.0
4295,Super built-up  Area,Kasavanhalli,2,1200.0,2.0,1.0,50.3
4297,Super built-up  Area,Kasavanhalli,3,1787.0,3.0,2.0,123.0
4298,Super built-up  Area,Kasavanhalli,2,1090.0,2.0,2.0,59.8
4299,Super built-up  Area,Kasavanhalli,3,1691.0,3.0,2.0,104.0
4300,Super built-up  Area,Kasavanhalli,4,4260.0,4.0,3.0,272.0
4301,Built-up  Area,Kasavanhalli,3,2111.0,4.0,3.0,120.0
4303,Super built-up  Area,Kasavanhalli,2,950.0,2.0,1.0,39.0
4308,Super built-up  Area,Kasavanhalli,1,770.0,1.0,1.0,43.82
4309,Super built-up  Area,Kasavanhalli,2,1147.0,2.0,1.0,60.0
4310,Super built-up  Area,Kasavanhalli,2,1375.0,2.0,2.0,72.0
4312,Super built-up  Area,Kasavanhalli,2,1200.0,2.0,2.0,60.0
4313,Plot  Area,Kasavanhalli,4,4260.0,4.0,2.0,333.0
4314,Built-up  Area,Kasavanhalli,2,1495.0,2.0,2.0,83.0
4315,Plot  Area,Kasavanhalli,3,5000.0,2.0,2.0,400.0
4316,Super built-up  Area,Kasavanhalli,4,4000.0,4.0,2.0,325.0
4317,Super built-up  Area,Kasavanhalli,3,1225.0,2.0,1.0,69.0
4318,Super built-up  Area,Kasavanhalli,3,1917.0,3.0,2.0,132.0
4319,Super built-up  Area,Kasavanhalli,2,1375.0,2.0,1.0,78.0
4320,Plot  Area,Kasavanhalli,4,4408.0,4.0,2.0,344.0
4321,Super built-up  Area,Kasavanhalli,2,1309.0,2.0,2.0,95.0
4322,Super built-up  Area,Kasavanhalli,3,1476.0,3.0,0.0,105.0
4323,Super built-up  Area,Kasavanhalli,2,1158.0,2.0,2.0,67.0
4324,Super built-up  Area,Kasavanhalli,2,1214.0,2.0,3.0,67.0
4325,Built-up  Area,Kasavanhalli,3,2110.0,4.0,3.0,120.0
4326,Super built-up  Area,Kasavanhalli,2,1495.0,2.0,2.0,110.0
4327,Super built-up  Area,Kasavanhalli,2,1575.0,2.0,3.0,85.0
4328,Super built-up  Area,Kasavanhalli,2,1069.0,2.0,2.0,55.0
4329,Super built-up  Area,Kasavanhalli,2,1100.0,2.0,1.0,68.0
4330,Super built-up  Area,Kasavanhalli,3,1715.0,3.0,3.0,112.0
4331,Super built-up  Area,Kasavanhalli,2,1100.0,2.0,1.0,65.0
4332,Super built-up  Area,Kasavanhalli,2,1230.0,2.0,2.0,66.25
4333,Super built-up  Area,Kasavanhalli,3,1819.0,3.0,1.0,150.0
4336,Built-up  Area,Kasavanhalli,2,1585.0,2.0,2.0,90.0
4337,Super built-up  Area,Kasavanhalli,2,1245.0,2.0,2.0,80.0
4338,Super built-up  Area,Kasavanhalli,3,2035.0,3.0,2.0,142.0
4339,Super built-up  Area,Kasavanhalli,3,1747.0,3.0,1.0,110.0
4340,Super built-up  Area,Kasavanhalli,2,1377.0,2.0,2.0,80.0
4341,Super built-up  Area,Kasavanhalli,2,1181.0,2.0,1.0,61.0
4342,Built-up  Area,Kasavanhalli,2,1121.0,2.0,2.0,75.0
4343,Built-up  Area,Kasturi Nagar,3,1925.0,3.0,2.0,125.0
4344,Super built-up  Area,Kasturi Nagar,2,1567.0,2.0,2.0,92.0
4347,Super built-up  Area,Kasturi Nagar,2,1080.0,2.0,2.0,80.0
4348,Super built-up  Area,Kasturi Nagar,2,1101.0,2.0,2.0,65.0
4350,Super built-up  Area,Kasturi Nagar,4,1896.0,3.0,1.0,125.0
4351,Super built-up  Area,Kasturi Nagar,2,1100.0,2.0,2.0,58.0
4352,Super built-up  Area,Kasturi Nagar,3,1570.0,3.0,2.0,110.0
4353,Super built-up  Area,Kasturi Nagar,2,1000.0,2.0,0.0,58.0
4354,Super built-up  Area,Kasturi Nagar,2,1101.0,2.0,2.0,66.0
4355,Super built-up  Area,Kasturi Nagar,4,2507.0,4.0,2.0,155.0
4356,Super built-up  Area,Kathriguppe,3,1400.0,2.0,2.0,77.0
4357,Super built-up  Area,Kathriguppe,3,1250.0,2.0,1.0,68.75
4358,Super built-up  Area,Kathriguppe,3,1245.0,2.0,2.0,68.48
4359,Super built-up  Area,Kathriguppe,3,1350.0,2.0,1.0,87.01
4360,Super built-up  Area,Kathriguppe,3,1350.0,2.0,2.0,80.99
4361,Super built-up  Area,Kathriguppe,3,1365.0,2.0,2.0,75.08
4362,Super built-up  Area,Kathriguppe,3,1300.0,3.0,2.0,77.99
4363,Super built-up  Area,Kathriguppe,3,1350.0,2.0,1.0,80.99
4364,Super built-up  Area,Kathriguppe,3,1390.0,2.0,2.0,76.45
4365,Super built-up  Area,Kathriguppe,3,1350.0,3.0,3.0,78.3
4366,Super built-up  Area,Kathriguppe,3,1250.0,2.0,2.0,68.75
4367,Super built-up  Area,Kathriguppe,3,1300.0,3.0,2.0,77.99
4368,Super built-up  Area,Kathriguppe,3,1335.0,2.0,3.0,73.43
4369,Super built-up  Area,Kathriguppe,3,1300.0,3.0,2.0,77.99
4370,Super built-up  Area,Kathriguppe,3,1300.0,3.0,3.0,77.99
4371,Super built-up  Area,Kathriguppe,3,1335.0,2.0,2.0,73.43
4372,Super built-up  Area,Kathriguppe,3,1350.0,3.0,2.0,80.99
4373,Super built-up  Area,Kathriguppe,2,1250.0,2.0,1.0,68.75
4374,Super built-up  Area,Kathriguppe,3,1350.0,3.0,2.0,80.99
4375,Super built-up  Area,Kaval Byrasandra,2,1200.0,2.0,2.0,52.0
4376,Built-up  Area,Kaval Byrasandra,2,1020.0,2.0,1.0,52.0
4377,Super built-up  Area,Kaval Byrasandra,2,1200.0,2.0,1.0,49.5
4378,Built-up  Area,Kaval Byrasandra,2,945.0,2.0,2.0,50.0
4379,Built-up  Area,Kaval Byrasandra,2,1060.0,2.0,2.0,45.0
4380,Built-up  Area,Kaval Byrasandra,2,1100.0,2.0,1.0,46.0
4381,Built-up  Area,Kaval Byrasandra,2,1185.0,2.0,1.0,49.0
4382,Super built-up  Area,Kaval Byrasandra,2,997.0,2.0,3.0,53.0
4383,Super built-up  Area,Kaval Byrasandra,2,1060.0,2.0,2.0,42.0
4384,Built-up  Area,Kaval Byrasandra,1,480.0,1.0,1.0,25.0
4385,Super built-up  Area,Kaval Byrasandra,2,1125.0,2.0,1.0,41.5
4386,Built-up  Area,Kaval Byrasandra,2,1180.0,2.0,2.0,60.0
4387,Super built-up  Area,Kaval Byrasandra,3,1450.0,3.0,2.0,75.0
4388,Built-up  Area,Kaval Byrasandra,2,1066.0,2.0,3.0,55.0
4389,Super built-up  Area,Kaval Byrasandra,2,1025.0,2.0,1.0,60.0
4390,Super built-up  Area,Kaval Byrasandra,3,1400.0,3.0,2.0,75.0
4391,Super built-up  Area,Kenchenahalli,2,1015.0,2.0,2.0,58.0
4392,Super built-up  Area,Kenchenahalli,1,715.0,1.0,1.0,45.0
4393,Super built-up  Area,Kenchenahalli,2,1150.0,2.0,2.0,58.0
4394,Super built-up  Area,Kenchenahalli,3,1280.0,2.0,2.0,69.0
4396,Super built-up  Area,Kenchenahalli,2,870.0,1.0,1.0,45.0
4397,Super built-up  Area,Kenchenahalli,2,1150.0,2.0,2.0,60.0
4398,Super built-up  Area,Kenchenahalli,1,700.0,1.0,1.0,35.0
4399,Super built-up  Area,Kenchenahalli,2,1060.0,2.0,2.0,52.0
4400,Super built-up  Area,Kenchenahalli,2,1150.0,2.0,2.0,57.0
4401,Super built-up  Area,Kenchenahalli,3,1720.0,3.0,2.0,100.0
4402,Super built-up  Area,Kenchenahalli,2,1015.0,2.0,2.0,60.0
4404,Super built-up  Area,Kengeri,2,750.0,2.0,1.0,38.0
4406,Super built-up  Area,Kengeri,2,1197.0,2.0,2.0,50.0
4407,Super built-up  Area,Kengeri,2,1200.0,2.0,0.0,58.0
4409,Super built-up  Area,Kengeri,2,726.0,2.0,1.0,31.0
4411,Super built-up  Area,Kengeri,2,1025.0,2.0,2.0,57.0
4413,Built-up  Area,Kengeri,3,1082.0,2.0,1.0,49.0
4416,Built-up  Area,Kengeri,2,750.0,2.0,1.0,36.0
4417,Built-up  Area,Kengeri,2,963.0,2.0,2.0,40.0
4419,Super built-up  Area,Kengeri,2,726.0,2.0,1.0,35.0
4420,Super built-up  Area,Kengeri,1,416.0,1.0,1.0,19.5
4421,Super built-up  Area,Kengeri,2,900.0,2.0,2.0,45.0
4424,Built-up  Area,Kengeri,1,502.0,1.0,1.0,25.0
4426,Plot  Area,Kengeri,3,1200.0,3.0,1.0,67.0
4427,Super built-up  Area,Kengeri,2,725.0,2.0,1.0,30.0
4428,Built-up  Area,Kengeri,1,500.0,1.0,1.0,17.0
4429,Super built-up  Area,Kengeri,1,540.0,1.0,1.0,22.5
4430,Super built-up  Area,Kengeri,2,750.0,2.0,1.0,35.5
4431,Super built-up  Area,Kengeri,3,1741.0,3.0,2.0,80.0
4433,Plot  Area,Kengeri,2,1200.0,2.0,0.0,58.0
4436,Super built-up  Area,Kengeri,2,750.0,2.0,1.0,36.5
4438,Super built-up  Area,Kengeri,1,416.0,1.0,1.0,18.0
4440,Built-up  Area,Kengeri,2,883.0,2.0,0.0,49.0
4441,Super built-up  Area,Kengeri,2,1052.0,2.0,2.0,51.0
4442,Super built-up  Area,Kengeri,2,1220.0,2.0,2.0,63.0
4443,Plot  Area,Kengeri,1,1150.0,1.0,0.0,52.0
4444,Super built-up  Area,Kengeri,2,1192.0,2.0,2.0,53.5
4446,Super built-up  Area,Kengeri,2,750.0,2.0,1.0,40.0
4447,Super built-up  Area,Kengeri,2,1035.0,2.0,1.0,51.5
4448,Built-up  Area,Kengeri,8,3000.0,5.0,2.0,130.0
4449,Built-up  Area,Kengeri,1,410.0,1.0,1.0,15.0
4450,Super built-up  Area,Kengeri,1,416.0,1.0,1.0,17.19
4453,Built-up  Area,Kengeri,5,2500.0,4.0,3.0,100.0
4454,Built-up  Area,Kengeri,1,550.0,1.0,1.0,16.75
4455,Super built-up  Area,Kengeri Satellite Town,2,890.0,2.0,1.0,35.0
4456,Built-up  Area,Kengeri Satellite Town,2,883.0,2.0,1.0,45.0
4457,Super built-up  Area,Kengeri Satellite Town,3,1415.0,2.0,3.0,66.0
4458,Super built-up  Area,Kengeri Satellite Town,1,930.0,1.0,1.0,30.0
4459,Super built-up  Area,Kengeri Satellite Town,3,1635.0,2.0,2.0,78.0
4460,Super built-up  Area,Kengeri Satellite Town,2,1050.0,2.0,2.0,43.0
4461,Super built-up  Area,Kengeri Satellite Town,2,1007.0,2.0,3.0,42.0
4462,Super built-up  Area,Kengeri Satellite Town,2,635.0,1.0,1.0,22.0
4463,Super built-up  Area,Kengeri Satellite Town,2,818.0,2.0,1.0,26.0
4464,Built-up  Area,Kengeri Satellite Town,2,1030.0,2.0,2.0,50.0
4465,Plot  Area,Kengeri Satellite Town,2,1200.0,2.0,1.0,65.0
4466,Super built-up  Area,Kengeri Satellite Town,2,795.0,2.0,2.0,32.0
